Brand name,Brand URL,Shopify or other,Annual sales,Alexa rating,# of employees,Segment (s/m/l/d),Name/Founder 1,Contact email
MVDT,,,URL Failed,URL Failed,Brand Failed,?Small,,contact@example.com
Ann Taylor,anntaylor.com,Clothing and Apparel Stores,348400000.0,18841,Brand Failed,Large,Lisa Arnett,
Anthropologie,anthropologie.com,Clothing and Apparel Stores,717200000.0,7786,5500,Large,Mia Wirtshafter,
Anine Bing,aninebing.com/,Clothing and Apparel Stores,URL Failed,115836,70,Medium,CEO: Nicolai Bing,
Motel Rocks,motelrocks.com,,URL Failed,58895,Brand Failed,?Small,,
MOTHER DENIM,motherdenim.com/,,URL Failed,118126,4,Medium,Lela Becker,
Mother of Pearl,motherofpearl.co.uk,,URL Failed,1326977,Brand Failed,Small,Amy Powney,
Motion RC,motionrc.com,,URL Failed,201760,62,Small,Mark Goetze,
Red Dress Boutique,,,URL Failed,URL Failed,97,Medium,,
Red Valentino,,,URL Failed,URL Failed,Brand Failed,?Small,,
Red Wing Shoes,,,URL Failed,URL Failed,2000,Large,,
Redcon1,redcon1.com,,URL Failed,111264,Brand Failed,?Small,Aaron Singerman,
Reebok,,,URL Failed,URL Failed,8000,Large,,
Reed Krakoff,,,URL Failed,URL Failed,Brand Failed,?Small,,
Reflect Studio,reflectstudio.com,,URL Failed,2569573,Brand Failed,?Small,,
Penfield,,Apparel,URL Failed,URL Failed,Brand Failed,Medium,,
REI,rei.com/,Sporting Goods and Recreation,502100000.0,2531,Brand Failed,Large,,
Reliquia Jewellery,reliquiajewellery.com,,URL Failed,700684,Brand Failed,?Small,,
Rent the Runway,renttherunway.com/,Clothing and Apparel Stores,URL Failed,34568,1800,Large,CEO: Jennifer Hyman,
Replay,,,URL Failed,URL Failed,Brand Failed,?Small,,
ReserveBar,reservebar.com,,23600000.0,65830,Brand Failed,Medium,,
revice denim,,,URL Failed,URL Failed,Brand Failed,?Small,,
RhinoShield,rhinoshield.io,,URL Failed,106634,Brand Failed,?Small,Hulan Tuvshinbat,
Peregrine,,Apparel,URL Failed,URL Failed,18,Medium,,
Reformation,thereformation.com,Fashion Apparel,116100000.0,14782,Brand Failed,Medium,Yael Aflalo ,
Rhumaa,,,URL Failed,URL Failed,Brand Failed,?Small,,
Rifo,rifo-lab.com,,URL Failed,URL Failed,Brand Failed,?Small,Niccolo ,
rigid.ink,rigid.ink,,URL Failed,243763,Brand Failed,?Small,,
Rikya,riyka.com,,URL Failed,URL Failed,Brand Failed,?Small,Rebecca ,
Ripcurl,ripcurl.com,,URL Failed,106101,Brand Failed,?Small,??,
Rockabilia,rockabilia.com,,48300000.0,144992,73,Medium,Elizabeth Olson,
Rockets of Awesome,rocketsofawesome.com,0,URL Failed,282396,Brand Failed,?Small,CEO: Rachel Blumenthal,
Rodo,,,URL Failed,URL Failed,Brand Failed,?Small,,
Roger Vivier,rogervivier.com/,Clothing and Apparel Stores,4400000.0,37395,128,Medium,,
Rolex,rolex.com,Jewelry and Accessories,URL Failed,12665,Brand Failed,?Small,Mounia Mechbal,
ROOLEE,roolee.com,Clothing and Apparel,24200000.0,69429,Brand Failed,Medium,,
Rotholz,,,URL Failed,URL Failed,Brand Failed,?Small,,
Rothy?s,,,URL Failed,URL Failed,Brand Failed,?Small,CEO: Roth Martin,
RSVLTS,rsvlts.com,,URL Failed,216083,Brand Failed,?Small,,
Ruby Moon,rubymoon.org.uk,,URL Failed,2982704,Brand Failed,Small,Jo Godden,
Ruffwear,ruffwear.com,,URL Failed,120324,43,Medium,Ernie Kucera,
Ruggable,ruggable.com,,URL Failed,38917,95,Medium,,
RVCA,rvca.com,0,16399999.999999998,23220,100,Medium,Jimmy Brickler,
SaberForge,saberforge.com,,URL Failed,139188,Brand Failed,?Small,,
Saint Laurent,ysl.com/,0,236100000.0,7141,447,Large,,
Salomon,salomon.com,Sporting Goods and Recreation,22000000.0,43315,Brand Failed,Medium,,
Saloni,saloniworld.com,,URL Failed,5131517,Brand Failed,Small,,
Salty Affairs,saltyaffairs.com,,URL Failed,URL Failed,Brand Failed,Small,Rebecca Abd (Cuba Vibe),
Salvatore Ferragamo,??,,URL Failed,URL Failed,Brand Failed,?Small,,
Samara Bags,samarabags.com,,URL Failed,302000,Brand Failed,?Small,,
