Brand name,Brand URL,Shopify or other,Annual sales,Alexa rating,# of employees,Segment (s/m/l/d),Name/Founder 1,Contact email
The Right Project,therightproject.org,,,,,,,
32 Degrees,32degrees.com,,,,,,,
Aatise,aatise.com,,,,,,,
Alexandra Svendsen,alexandrasvendsen.de,,,,,,,
ALPACA LOCA,alpacaloca.nl,,,,,,,
anatomie,anatomie.com,,,,,,,
Animaná,animanaonline.com,,,,,,,
Anine Bing,aninebing.com,,,,,,,
Anya Hindmarch,anyahindmarch.com,,,,,,,
Aramù,aramuitaly.com,,,,,,,
Armazém das Malhas,armazemdasmalhas.com,,,,,,,
Armed Angels,armedangels.comde-en,,,,,,,
Artknit Studios,artknit-studios.com,,,,,,,
ASICS,asics.com-us,,,,,,,
Australian Brands Alliance,abalabels.com.au,,,,,,,
Avie,avie-studio.com,,,,,,,
ayani,ayani.co,,,,,,,
back to eco,backtoeco.com,,,,,,,
Badgley Mischka,BadgleyMischka.com,,,,,,,
Balagan Studio,balaganstudio.com,,,,,,,
Barbara Bui,barbarabui.com,,,,,,,
be free,befreeco.com,,,,,,,
Besonnen,besonnen-fashion.com,,,,,,,
Boll & Branch,bollandbranch.com,,,,,,,
Brunello Cucinelli,brunellocucinelli.com,,,,,,,
Burrow,burrow.com,,,,,,,
Bvlgari,bulgari.com-us,,,,,,,
Calvin Klein,calvinklein.us,,,,,,,
Car Tots,cartots.com,,,,,,,
Carharrt,carhartt.com,,,,,,,
Carolina Herrera,carolinaherrera.com,,,,,,,
Celine,celine.com,,,,,,,
Christian Louboutin,christianlouboutin.com,,,,,,,
Christian Siriano,christiansiriano.com,,,,,,,
Clarks,clarksusa.com,,,,,,,
Clea Stuart,cleastuart.eu,,,,,,,
Cloud9,cloud9.gg,,,,,,,
club monaco,clubmonaco.com,,,,,,,
Cocomi,cocomi-sg.myshopify.com,,,,,,,
Columbia,columbia.com,,,,,,,
Cubcoats,cubcoats.com,,,,,,,
Dagne Dover,dagnedover.com,,,,,,,
Desigual,desigual.com,,,,,,,
Decathlon,decathlon.com,,,,,,,
Delvaux,delvaux.com,,,,,,,
Dooney & Bourke,dooney.com,,,,,,,
DOPE,dope.com,,,,,,,
ErgoDox,ergodox-ez.com,,,,,,,
Escada,escada.com,,,,,,,
Esprit,esprit.com,,,,,,,
Etro,etro.com,,,,,,,
Everyone Wins,shopeveryonewins.com,,,,,,,
Evveervital,evervital.co,,,,,,,
Fair Retail,notjustalabel.com,,,,,,,
Florita Beachwear,floritabeachwear.com,,,,,,,
Francis Stories,francis-stories.com,,,,,,,
GANT,gant.com,,,,,,,
Giuseppe Zanotti,giuseppezanotti.com,,,,,,,
Glossier,glossier.com,,,,,,,
Golden Goose,goldengoose.com,,,,,,,
Ground Control,groundcontrolcolor.com,,,,,,,
Grunt Style,gruntstyle.com,,,,,,,
G-Star,g-star.com_us,,,,,,,
Gundam Store,usagundamstore.com,,,,,,,
Gung-Ho,gungholondon.com,,,,,,,
Gym King,thegymking.com,,,,,,,
hafendieb,hafendieb.de,,,,,,,
Hanishken,hanishken.com,,,,,,,
HANON,hanon-shop.com,,,,,,,
Haus,hauslabs.com,,,,,,,
HAVEN,havenshop.com,,,,,,,
Headphone Zone,headphonezone.in,,,,,,,
Helix,helixsleep.com,,,,,,,
Hello Merch,hellomerch.com,,,,,,,
Helly Hansen,hellyhansen.com,,,,,,,
HELM Boots,helmboots.com,,,,,,,
Hermes,hermes.com,,,,,,,
Herringstones Boutique,herringstonesboutique.com,,,,,,,
Herschel Supply Co.,herschelsupply.com,,,,,,,
HiSmile™,hismileteeth.com,,,,,,,
Hogan,hogan.com,,,,,,,
HOMAGE,homage.com,,,,,,,
Honest Basics,honest-basics.com,,,,,,,
Humble Household,humblehousehold.com,,,,,,,
Hunter,hunterboots.com,,,,,,,
Hurley,hurley.com,,,,,,,
HYGO Shop,hygoshop.com,,,,,,,
Hyper Denim,hyperdenim.com,,,,,,,
Hyperlite Mountain Gear - Ultralight Backpacking Gear,hyperlitemountaingear.com,,,,,,,
HyperTech - Coolest Gadgets for Trendy People – HypersTech,hyperstech.com,,,,,,,
I Saw It First | ISAWITFIRST.com | Women's Clothes | Online Fashion – I SAW IT FIRST,isawitfirst.com,,,,,,,
I.AM.GIA,iamgia.com,,,,,,,
IAIOS,iaios.com,,,,,,,
Indestructible Shoes - Unbreakable Shoes (New 2019 Collection),indestructibleshoes.com,,,,,,,
"India’s premium solar brand store: Buy solar systems, panels online",loomsolar.com,,,,,,,
"Inspire Uplift - Fun, Practical & Inspiring Products!",inspireuplift.com,,,,,,,
INTO THE AM,intotheam.com,,,,,,,
ipsilon,ipsilon-project.org,,,,,,,
Iron Roots,ironroots.com,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
